date,target,episode,target_side,placement_side,target_center_x,target_center_y,shape,asset,asset_reuse_round,input_video,seed
0727,circle,erase_the_circle_0727-111036,top,bottom,417.5,91.5,triangle,records_0727_0813_assets_work\final_assets\triangle\074_erase_the_triangle_0811-204219.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-111036\videos\observation.images.top\chunk-000\file-000.mp4,538892287
0727,circle,erase_the_circle_0727-111212,top,bottom,414.5,87.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\066_erase_the_rectangle_0812-134613.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-111212\videos\observation.images.top\chunk-000\file-000.mp4,1938710881
0727,circle,erase_the_circle_0727-111340,top,bottom,419.5,89.0,triangle,records_0727_0813_assets_work\final_assets\triangle\033_erase_the_triangle_0802-142338.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-111340\videos\observation.images.top\chunk-000\file-000.mp4,1402391626
0727,circle,erase_the_circle_0727-111813,bottom,top,386.0,521.0,triangle,records_0727_0813_assets_work\final_assets\triangle\062_erase_the_triangle_0805-183021.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-111813\videos\observation.images.top\chunk-000\file-000.mp4,710376269
0727,circle,erase_the_circle_0727-111943,bottom,top,560.0,488.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\064_erase_the_rectangle_0812-134407.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-111943\videos\observation.images.top\chunk-000\file-000.mp4,2052319043
0727,circle,erase_the_circle_0727-112133,top,bottom,577.5,86.5,triangle,records_0727_0813_assets_work\final_assets\triangle\008_erase_the_triangle_0727-113957.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-112133\videos\observation.images.top\chunk-000\file-000.mp4,854634655
0727,circle,erase_the_circle_0727-112529,top,bottom,363.5,107.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\069_erase_the_rectangle_0812-134940.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_circle\erase_the_circle_0727-112529\videos\observation.images.top\chunk-000\file-000.mp4,1933492395
0727,rectangle,erase_the_rectangle_0727-120251,bottom,top,437.5,460.0,triangle,records_0727_0813_assets_work\final_assets\triangle\010_erase_the_triangle_0727-114335.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-120251\videos\observation.images.top\chunk-000\file-000.mp4,1822642441
0727,rectangle,erase_the_rectangle_0727-120407,bottom,top,433.0,468.5,triangle,records_0727_0813_assets_work\final_assets\triangle\025_erase_the_triangle_0802-140722.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-120407\videos\observation.images.top\chunk-000\file-000.mp4,1249848874
0727,rectangle,erase_the_rectangle_0727-120609,bottom,top,434.5,469.0,circle,records_0727_0813_assets_work\final_assets\circle\019_erase_the_circle_0727-112133.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-120609\videos\observation.images.top\chunk-000\file-000.mp4,1718492917
0727,rectangle,erase_the_rectangle_0727-120733,bottom,top,438.0,469.0,triangle,records_0727_0813_assets_work\final_assets\triangle\067_erase_the_triangle_0811-203202.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-120733\videos\observation.images.top\chunk-000\file-000.mp4,9534982
0727,rectangle,erase_the_rectangle_0727-121003,bottom,top,433.0,467.0,triangle,records_0727_0813_assets_work\final_assets\triangle\011_erase_the_triangle_0727-114515.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121003\videos\observation.images.top\chunk-000\file-000.mp4,577643630
0727,rectangle,erase_the_rectangle_0727-121135,bottom,top,581.5,459.5,triangle,records_0727_0813_assets_work\final_assets\triangle\078_erase_the_triangle_0811-205231.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121135\videos\observation.images.top\chunk-000\file-000.mp4,991834940
0727,rectangle,erase_the_rectangle_0727-121305,bottom,top,584.5,449.0,circle,records_0727_0813_assets_work\final_assets\circle\053_erase_the_circle_0805-184029.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121305\videos\observation.images.top\chunk-000\file-000.mp4,1662020624
0727,rectangle,erase_the_rectangle_0727-121435,bottom,top,586.5,450.0,circle,records_0727_0813_assets_work\final_assets\circle\081_erase_the_circle_0812-131859.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121435\videos\observation.images.top\chunk-000\file-000.mp4,143230863
0727,rectangle,erase_the_rectangle_0727-121601,bottom,top,576.5,439.0,triangle,records_0727_0813_assets_work\final_assets\triangle\032_erase_the_triangle_0802-142225.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121601\videos\observation.images.top\chunk-000\file-000.mp4,683612716
0727,rectangle,erase_the_rectangle_0727-121732,bottom,top,582.0,431.5,triangle,records_0727_0813_assets_work\final_assets\triangle\082_erase_the_triangle_0812-141041.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121732\videos\observation.images.top\chunk-000\file-000.mp4,1807905564
0727,rectangle,erase_the_rectangle_0727-121900,top,bottom,553.0,112.0,circle,records_0727_0813_assets_work\final_assets\circle\040_erase_the_circle_0802-135033.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-121900\videos\observation.images.top\chunk-000\file-000.mp4,834266886
0727,rectangle,erase_the_rectangle_0727-122053,top,bottom,559.0,119.0,circle,records_0727_0813_assets_work\final_assets\circle\020_erase_the_circle_0727-112529.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-122053\videos\observation.images.top\chunk-000\file-000.mp4,1730821755
0727,rectangle,erase_the_rectangle_0727-122347,top,bottom,552.0,118.5,circle,records_0727_0813_assets_work\final_assets\circle\066_erase_the_circle_0811-210449.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-122347\videos\observation.images.top\chunk-000\file-000.mp4,530542597
0727,rectangle,erase_the_rectangle_0727-122516,top,bottom,549.0,114.5,circle,records_0727_0813_assets_work\final_assets\circle\009_erase_the_circle_0726-165719.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-122516\videos\observation.images.top\chunk-000\file-000.mp4,123374873
0727,rectangle,erase_the_rectangle_0727-125938,top,bottom,548.5,114.5,triangle,records_0727_0813_assets_work\final_assets\triangle\054_erase_the_triangle_0805-181826.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-125938\videos\observation.images.top\chunk-000\file-000.mp4,213025361
0727,rectangle,erase_the_rectangle_0727-130104,top,bottom,402.0,117.0,circle,records_0727_0813_assets_work\final_assets\circle\055_erase_the_circle_0805-184247.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-130104\videos\observation.images.top\chunk-000\file-000.mp4,246186209
0727,rectangle,erase_the_rectangle_0727-130220,top,bottom,399.5,117.5,circle,records_0727_0813_assets_work\final_assets\circle\057_erase_the_circle_0805-184700.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-130220\videos\observation.images.top\chunk-000\file-000.mp4,793048060
0727,rectangle,erase_the_rectangle_0727-130339,top,bottom,417.5,108.0,circle,records_0727_0813_assets_work\final_assets\circle\021_erase_the_circle_0802-130542.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-130339\videos\observation.images.top\chunk-000\file-000.mp4,407016460
0727,rectangle,erase_the_rectangle_0727-130455,top,bottom,419.5,107.5,triangle,records_0727_0813_assets_work\final_assets\triangle\070_erase_the_triangle_0811-203709.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-130455\videos\observation.images.top\chunk-000\file-000.mp4,1433025214
0727,rectangle,erase_the_rectangle_0727-130630,top,bottom,410.0,98.5,triangle,records_0727_0813_assets_work\final_assets\triangle\017_erase_the_triangle_0727-115632.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_rectangle\erase_the_rectangle_0727-130630\videos\observation.images.top\chunk-000\file-000.mp4,301493357
0727,triangle,erase_the_triangle_0727-113015,bottom,top,372.5,523.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\092_erase_the_rectangle_0813-184121.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113015\videos\observation.images.top\chunk-000\file-000.mp4,421759828
0727,triangle,erase_the_triangle_0727-113147,bottom,top,370.5,523.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\032_erase_the_rectangle_0804-181955.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113147\videos\observation.images.top\chunk-000\file-000.mp4,636683241
0727,triangle,erase_the_triangle_0727-113311,bottom,top,363.5,523.0,circle,records_0727_0813_assets_work\final_assets\circle\093_erase_the_circle_0812-133507.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113311\videos\observation.images.top\chunk-000\file-000.mp4,551047360
0727,triangle,erase_the_triangle_0727-113437,bottom,top,357.5,529.5,circle,records_0727_0813_assets_work\final_assets\circle\086_erase_the_circle_0812-132727.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113437\videos\observation.images.top\chunk-000\file-000.mp4,1132176410
0727,triangle,erase_the_triangle_0727-113600,bottom,top,374.5,540.0,circle,records_0727_0813_assets_work\final_assets\circle\031_erase_the_circle_0802-132838.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113600\videos\observation.images.top\chunk-000\file-000.mp4,499152087
0727,triangle,erase_the_triangle_0727-113710,bottom,top,583.5,499.5,circle,records_0727_0813_assets_work\final_assets\circle\079_erase_the_circle_0812-131127.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113710\videos\observation.images.top\chunk-000\file-000.mp4,1365648077
0727,triangle,erase_the_triangle_0727-113836,bottom,top,566.5,488.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\008_erase_the_rectangle_0727-121435.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113836\videos\observation.images.top\chunk-000\file-000.mp4,615467448
0727,triangle,erase_the_triangle_0727-113957,bottom,top,585.0,521.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\015_erase_the_rectangle_0727-125938.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-113957\videos\observation.images.top\chunk-000\file-000.mp4,1913778186
0727,triangle,erase_the_triangle_0727-114215,bottom,top,601.0,478.0,circle,records_0727_0813_assets_work\final_assets\circle\081_erase_the_circle_0812-131859.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-114215\videos\observation.images.top\chunk-000\file-000.mp4,1473832014
0727,triangle,erase_the_triangle_0727-114335,bottom,top,585.0,487.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\021_erase_the_rectangle_0804-180439.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-114335\videos\observation.images.top\chunk-000\file-000.mp4,1029174796
0727,triangle,erase_the_triangle_0727-114515,top,bottom,557.0,104.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\025_erase_the_rectangle_0804-180929.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-114515\videos\observation.images.top\chunk-000\file-000.mp4,1649716519
0727,triangle,erase_the_triangle_0727-114643,top,bottom,561.5,89.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\096_erase_the_rectangle_0813-184733.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-114643\videos\observation.images.top\chunk-000\file-000.mp4,2081271095
0727,triangle,erase_the_triangle_0727-114759,top,bottom,566.5,85.0,circle,records_0727_0813_assets_work\final_assets\circle\006_erase_the_circle_0726-164200.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-114759\videos\observation.images.top\chunk-000\file-000.mp4,1916938127
0727,triangle,erase_the_triangle_0727-115143,top,bottom,551.0,158.5,circle,records_0727_0813_assets_work\final_assets\circle\045_erase_the_circle_0802-135912.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-115143\videos\observation.images.top\chunk-000\file-000.mp4,1014074658
0727,triangle,erase_the_triangle_0727-115349,top,bottom,542.0,161.0,circle,records_0727_0813_assets_work\final_assets\circle\091_erase_the_circle_0812-133256.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-115349\videos\observation.images.top\chunk-000\file-000.mp4,501550624
0727,triangle,erase_the_triangle_0727-115509,top,bottom,396.0,156.5,circle,records_0727_0813_assets_work\final_assets\circle\050_erase_the_circle_0805-183515.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-115509\videos\observation.images.top\chunk-000\file-000.mp4,713956553
0727,triangle,erase_the_triangle_0727-115632,top,bottom,423.5,129.0,circle,records_0727_0813_assets_work\final_assets\circle\078_erase_the_circle_0811-212601.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-115632\videos\observation.images.top\chunk-000\file-000.mp4,777690286
0727,triangle,erase_the_triangle_0727-115747,top,bottom,401.5,117.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\102_erase_the_rectangle_0813-214244.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-115747\videos\observation.images.top\chunk-000\file-000.mp4,1828230945
0727,triangle,erase_the_triangle_0727-115901,top,bottom,406.5,129.5,rectangle,records_0727_0813_assets_work\final_assets\rectangle\027_erase_the_rectangle_0804-181153.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-115901\videos\observation.images.top\chunk-000\file-000.mp4,1257938950
0727,triangle,erase_the_triangle_0727-120025,top,bottom,420.0,136.0,rectangle,records_0727_0813_assets_work\final_assets\rectangle\057_erase_the_rectangle_0811-201351.png,0,C:\Users\user\Downloads\records_0727_0813\0727\erase_the_triangle\erase_the_triangle_0727-120025\videos\observation.images.top\chunk-000\file-000.mp4,116523129
